"Produkt_Code","SDO_ID","Timestamp","Value","Qualitaet_Niveau","Qualitaet_Byte"
"DD_MN008","1975","201901052300","340","0","3"
"DD_MN008","1975","201901060000","30","0","3"
"DD_MN008","1975","201901060100","40","0","3"
"DD_MN008","1975","201901060200","80","0","3"
"DD_MN008","1975","201901060300","350","0","3"
"DD_MN008","1975","201901060400","310","0","3"
"DD_MN008","1975","201901060500","320","0","3"
"DD_MN008","1975","201901060600","340","0","3"
"DD_MN008","1975","201901060700","310","0","3"
"DD_MN008","1975","201901060800","20","0","3"
"DD_MN008","1975","201901060900","20","0","3"
"DD_MN008","1975","201901061000","320","0","3"
"DD_MN008","1975","201901061100","310","0","3"
"DD_MN008","1975","201901061200","320","0","3"
"DD_MN008","1975","201901061300","300","0","3"
"DD_MN008","1975","201901061400","300","0","3"
"DD_MN008","1975","201901061500","290","0","3"
"DD_MN008","1975","201901061600","290","0","3"
"DD_MN008","1975","201901061700","310","0","3"
"DD_MN008","1975","201901061800","280","0","3"
"DD_MN008","1975","201901061900","300","0","3"
"DD_MN008","1975","201901062000","280","0","3"
"DD_MN008","1975","201901062100","290","0","3"
"DD_MN008","1975","201901062200","290","0","3"
"DD_MN008","1975","201901062300","290","0","3"
"DD_MN008","1975","201901070000","290","0","3"
"DD_MN008","1975","201901070100","290","0","3"
"DD_MN008","1975","201901070200","280","0","3"
"DD_MN008","1975","201901070300","280","0","3"
"DD_MN008","1975","201901070400","290","0","3"
"DD_MN008","1975","201901070500","290","0","3"
"DD_MN008","1975","201901070600","280","0","3"
"DD_MN008","1975","201901070700","270","0","3"
"DD_MN008","1975","201901070800","270","0","3"
"DD_MN008","1975","201901070900","270","0","3"
"DD_MN008","1975","201901071000","280","0","3"
"DD_MN008","1975","201901071100","290","0","3"
"DD_MN008","1975","201901071200","270","0","3"
"DD_MN008","1975","201901071300","250","0","3"
"DD_MN008","1975","201901071400","230","0","3"
"DD_MN008","1975","201901071500","230","0","3"
"DD_MN008","1975","201901071600","230","0","3"
"DD_MN008","1975","201901071700","230","0","3"
"DD_MN008","1975","201901071800","230","0","3"
"DD_MN008","1975","201901071900","220","0","3"
"DD_MN008","1975","201901072000","230","0","3"
"DD_MN008","1975","201901072100","240","0","3"
"DD_MN008","1975","201901072200","250","0","3"
"DD_MN008","1975","201901072300","260","0","3"
"DD_MN008","1975","201901080000","270","0","3"
"DD_MN008","1975","201901080100","260","0","3"
"DD_MN008","1975","201901080200","260","0","3"
"DD_MN008","1975","201901080300","270","0","3"
"DD_MN008","1975","201901080400","260","0","3"
"DD_MN008","1975","201901080500","260","0","3"
"DD_MN008","1975","201901080600","270","0","3"
"DD_MN008","1975","201901080700","270","0","3"
"DD_MN008","1975","201901080800","280","0","3"
"DD_MN008","1975","201901080900","290","0","3"
"DD_MN008","1975","201901081000","300","0","3"
"DD_MN008","1975","201901081100","300","0","3"
"DD_MN008","1975","201901081200","300","0","3"
"DD_MN008","1975","201901081300","300","0","3"
"DD_MN008","1975","201901081400","310","0","3"
"DD_MN008","1975","201901081500","320","0","3"
"DD_MN008","1975","201901081600","310","0","3"
"DD_MN008","1975","201901081700","310","0","3"
"DD_MN008","1975","201901081800","310","0","3"
"DD_MN008","1975","201901081900","310","0","3"
"DD_MN008","1975","201901082000","320","0","3"
"DD_MN008","1975","201901082100","320","0","3"
"DD_MN008","1975","201901082200","320","0","3"
"DD_MN008","1975","201901082300","330","0","3"
"DD_MN008","1975","201901090000","330","0","3"
"DD_MN008","1975","201901090100","340","0","3"
"DD_MN008","1975","201901090200","340","0","3"
"DD_MN008","1975","201901090300","340","0","3"
"DD_MN008","1975","201901090400","340","0","3"
"DD_MN008","1975","201901090500","340","0","3"
"DD_MN008","1975","201901090600","340","0","3"
"DD_MN008","1975","201901090700","340","0","3"
"DD_MN008","1975","201901090800","350","0","3"
"DD_MN008","1975","201901090900","350","0","3"
"DD_MN008","1975","201901091000","360","0","3"
"DD_MN008","1975","201901091100","360","0","3"
"DD_MN008","1975","201901091200","360","0","3"
"DD_MN008","1975","201901091300","360","0","3"
"DD_MN008","1975","201901091400","360","0","3"
"DD_MN008","1975","201901091500","10","0","3"
"DD_MN008","1975","201901091600","360","0","3"
"DD_MN008","1975","201901091700","10","0","3"
"DD_MN008","1975","201901091800","10","0","3"
"DD_MN008","1975","201901091900","10","0","3"
"DD_MN008","1975","201901092000","20","0","3"
"DD_MN008","1975","201901092100","20","0","3"
"DD_MN008","1975","201901092200","30","0","3"
"DD_MN008","1975","201901092300","40","0","3"
"DD_MN008","1975","201901100000","30","0","3"
"DD_MN008","1975","201901100100","30","0","3"
"DD_MN008","1975","201901100200","360","0","3"
"DD_MN008","1975","201901100300","30","0","3"
"DD_MN008","1975","201901100400","10","0","3"
"DD_MN008","1975","201901100500","300","0","3"
"DD_MN008","1975","201901100600","330","0","3"
"DD_MN008","1975","201901100700","320","0","3"
"DD_MN008","1975","201901100800","300","0","3"
"DD_MN008","1975","201901100900","310","0","3"
"DD_MN008","1975","201901101000","310","0","3"
"DD_MN008","1975","201901101100","310","0","3"
"DD_MN008","1975","201901101200","300","0","3"
"DD_MN008","1975","201901101300","290","0","3"
"DD_MN008","1975","201901101400","280","0","3"
"DD_MN008","1975","201901101500","300","0","3"
"DD_MN008","1975","201901101600","260","0","3"
"DD_MN008","1975","201901101700","260","0","3"
"DD_MN008","1975","201901101800","270","0","3"
"DD_MN008","1975","201901101900","270","0","3"
"DD_MN008","1975","201901102000","240","0","3"
"DD_MN008","1975","201901102100","220","0","3"
"DD_MN008","1975","201901102200","210","0","3"
"DD_MN008","1975","201901102300","230","0","3"
"DD_MN008","1975","201901110000","230","0","3"
"DD_MN008","1975","201901110100","240","0","3"
"DD_MN008","1975","201901110200","230","0","3"
"DD_MN008","1975","201901110300","250","0","3"
"DD_MN008","1975","201901110400","260","0","3"
"DD_MN008","1975","201901110500","250","0","3"
"DD_MN008","1975","201901110600","260","0","3"
"DD_MN008","1975","201901110700","260","0","3"
"DD_MN008","1975","201901110800","270","0","3"
"DD_MN008","1975","201901110900","270","0","3"
"DD_MN008","1975","201901111000","290","0","3"
"DD_MN008","1975","201901111100","300","0","3"
"DD_MN008","1975","201901111200","290","0","3"
"DD_MN008","1975","201901111300","290","0","3"
"DD_MN008","1975","201901111400","290","0","3"
"DD_MN008","1975","201901111500","300","0","3"
"DD_MN008","1975","201901111600","310","0","3"
"DD_MN008","1975","201901111700","310","0","3"
"DD_MN008","1975","201901111800","310","0","3"
"DD_MN008","1975","201901111900","310","0","3"
"DD_MN008","1975","201901112000","310","0","3"
"DD_MN008","1975","201901112100","300","0","3"
"DD_MN008","1975","201901112200","300","0","3"
"DD_MN008","1975","201901112300","290","0","3"
"DD_MN008","1975","201901120000","300","0","3"
"DD_MN008","1975","201901120100","290","0","3"
"DD_MN008","1975","201901120200","300","0","3"
"DD_MN008","1975","201901120300","280","0","3"
"DD_MN008","1975","201901120400","280","0","3"
"DD_MN008","1975","201901120500","280","0","3"
"DD_MN008","1975","201901120600","280","0","3"
"DD_MN008","1975","201901120700","270","0","3"
"DD_MN008","1975","201901120800","270","0","3"
"DD_MN008","1975","201901120900","260","0","3"
"DD_MN008","1975","201901121000","250","0","3"
"DD_MN008","1975","201901121100","240","0","3"
"DD_MN008","1975","201901121200","240","0","3"
"DD_MN008","1975","201901121300","240","0","3"
"DD_MN008","1975","201901121400","250","0","3"
"DD_MN008","1975","201901121500","290","0","3"
"DD_MN008","1975","201901121600","280","0","3"
"DD_MN008","1975","201901121700","280","0","3"
"DD_MN008","1975","201901121800","270","0","3"
"DD_MN008","1975","201901121900","280","0","3"
"DD_MN008","1975","201901122000","270","0","3"
"DD_MN008","1975","201901122100","280","0","3"
"DD_MN008","1975","201901122200","280","0","3"
"DD_MN008","1975","201901122300","280","0","3"
"DD_MN008","1975","201901130000","290","0","3"
"DD_MN008","1975","201901130100","290","0","3"
"DD_MN008","1975","201901130200","280","0","3"
"DD_MN008","1975","201901130300","290","0","3"
"DD_MN008","1975","201901130400","280","0","3"
"DD_MN008","1975","201901130500","270","0","3"
"DD_MN008","1975","201901130600","270","0","3"
"DD_MN008","1975","201901130700","240","0","3"
"DD_MN008","1975","201901130800","230","0","3"
"DD_MN008","1975","201901130900","240","0","3"
"DD_MN008","1975","201901131000","260","0","3"
"DD_MN008","1975","201901131100","280","0","3"
"DD_MN008","1975","201901131200","280","0","3"
"DD_MN008","1975","201901131300","280","0","3"
"DD_MN008","1975","201901131400","270","0","3"
"DD_MN008","1975","201901131500","270","0","3"
"DD_MN008","1975","201901131600","280","0","3"
"DD_MN008","1975","201901131700","280","0","3"
"DD_MN008","1975","201901131800","290","0","3"
"DD_MN008","1975","201901131900","290","0","3"
"DD_MN008","1975","201901132000","290","0","3"
"DD_MN008","1975","201901132100","300","0","3"
"DD_MN008","1975","201901132200","310","0","3"
"DD_MN008","1975","201901132300","310","0","3"
"DD_MN008","1975","201901140000","310","0","3"
"DD_MN008","1975","201901140100","310","0","3"
"DD_MN008","1975","201901140200","310","0","3"
"DD_MN008","1975","201901140300","300","0","3"
"DD_MN008","1975","201901140400","310","0","3"
"DD_MN008","1975","201901140500","300","0","3"
"DD_MN008","1975","201901140600","320","0","3"
"DD_MN008","1975","201901140700","310","0","3"
"DD_MN008","1975","201901140800","310","0","3"
"DD_MN008","1975","201901140900","300","0","3"
"DD_MN008","1975","201901141000","310","0","3"
"DD_MN008","1975","201901141100","310","0","3"
